gene,mean,std
TMEM147,-0.02077474413163179,1.0092533367166745
TNFRSF17,0.007511923370266958,1.087781090399961
TOP2A,-0.011127110016521346,1.0774664371777773
TPSAB1,-0.0003474199949573538,1.2141474989606704
TRAC,0.02588088193348228,1.2241035447338837
TRAF4,-0.005694175474497015,1.0219534550013887
TRIB1,-0.035039672333796,1.1223259377812356
TUBA4A,0.008503747073780103,1.061471193967447
TUBB2B,0.003805992729095638,1.0499808038592415
UCP1,0.002423040418855368,1.0648485246522847
USP53,-0.02051439226000243,1.026316125556949
VOPP1,0.0022546478269974525,1.025995783396138
WARS,-0.01003716203188378,1.0007184354613365
ZEB1,0.0029628968249626113,1.0586408658397086
ZNF562,-0.007826546432492898,1.0035010150821684
