gene,mean,std
KLRC1,-0.0009714975442277476,1.0354026728845094
KLRD1,-0.0008117505080450843,1.0832128912650798
KLRF1,0.0013133978235687293,1.1086008108571697
KRT14,0.0005179322294345006,1.0351723958275934
KRT23,-0.028460733734051336,1.0677460996603725
KRT5,-7.189388993461509e-05,1.0254861764268717
KRT6B,0.0020532743424537914,1.0495267533716028
KRT7,-0.027356778108151836,1.0514703288114515
LAG3,0.001816067883741109,1.0358230469143854
LARS,-0.009060369680568349,1.011333608961982
LGALSL,-0.002244377160109321,1.0161945143364297
LILRA4,0.006985718775206583,1.1213038097352201
LPL,-0.018951034498806037,1.1227548979041135
LPXN,0.013419182979376549,1.065413011131464
LRRC15,0.001112072615773759,1.0468506175646861
LTB,0.03135321234967685,1.1420658053288173
LY86,0.013105075497056874,1.0880336181998351
LYPD3,-0.011804527825320604,1.0102524254159748
MAP3K8,0.008464049804195838,1.0689133074348147
MKI67,-0.00910642939180238,1.0581165243719057
MMP1,-0.00028754063909776286,1.0041327318125501
MMP12,-0.0006664607974552148,1.0365828771851624
MMP2,-0.011398776136138478,1.025074427030278
MMRN2,-0.001336101730218791,1.1211421963041381
MNDA,-0.003407060809198087,1.0391963100789647
MRC1,-0.013153298353924436,1.1531754118435427
MUC6,0.00601150950838737,1.0785855697477815
MYBPC1,0.005111041556806117,1.0724531445342385
MYLK,-0.022796898406210745,1.627039448342309
MYO5B,-0.00548489378104434,1.0039788478517127
MZB1,0.0007949440560703259,1.187613580829901
NCAM1,-0.0011857753448578873,1.027934613168249
NDUFA4L2,0.0034344337769207146,1.0588205301474545
NKG7,-8.11318941255988e-05,1.0919246366654807
NOSTRIN,-0.02715239688829057,1.032036667204128
OCIAD2,-0.0007580484028148367,1.0236791898978772
OPRPN,0.0017041281282335278,1.0565052499974696
OXTR,-0.0034217477318763223,0.9990137281657397
PCLAF,-0.00879333409904753,1.0320761906492302
PDCD1,0.002100994149414877,1.0730926117837067
PDCD1LG2,0.0019097600091150639,1.0478679456634545
PDE4A,-0.013078494939102613,0.9905524417333863
PDGFRA,-0.00409152488824744,1.05828246455665
PDK4,-0.0074748104612784826,1.0722775098131772
PELI1,0.006117162415331211,1.0535051966888331
PGR,-0.018570228919392823,1.0025614015766058
PIGR,0.004315148552464189,1.066710063058507
PIM1,0.004028920259911493,1.048247638810695
PLD4,0.004655509696955002,1.0593896726783194
PPARG,-0.006150842478357765,1.0300197871214263
PRDM1,2.8302147339600106e-05,1.049847399506062
